Area code;Donor;Project Code;Session No;legal or protection;Oblast;Raion;Hromada;Location name;Date;Topic;Language;Facilitator;Settlement type;Gender;Age;Status;Delivered;Comments
CHJ - Chernihiv;ECHO;UKR-000269;7;Protection;Chernihivska;Prylutskyi;Ichnianska;"	Ichnia";23.03.2023;Access to general services;ukrainian;Valeriia Yakubenko, Yurii Stankevych;Urban;Female;45;IDP;YES;
CHJ - Chernihiv;ECHO;UKR-000269;7;Protection;Chernihivska;Prylutskyi;Ichnianska;"	Ichnia";23.03.2023;Access to general services;ukrainian;Valeriia Yakubenko, Yurii Stankevych;Urban;Female;40;IDP;YES;
CHJ - Chernihiv;ECHO;UKR-000269;7;Protection;Chernihivska;Prylutskyi;Ichnianska;"	Ichnia";23.03.2023;Access to general services;ukrainian;Valeriia Yakubenko, Yurii Stankevych;Urban;Female;39;IDP;YES;
CHJ - Chernihiv;ECHO;UKR-000269;7;Protection;Chernihivska;Prylutskyi;Ichnianska;"	Ichnia";23.03.2023;Access to general services;ukrainian;Valeriia Yakubenko, Yurii Stankevych;Urban;Female;36;IDP;YES;
CHJ - Chernihiv;ECHO;UKR-000269;7;Protection;Chernihivska;Prylutskyi;Ichnianska;"	Ichnia";23.03.2023;Access to general services;ukrainian;Valeriia Yakubenko, Yurii Stankevych;Urban;Female;51;IDP;YES;
CHJ - Chernihiv;ECHO;UKR-000269;7;Protection;Chernihivska;Prylutskyi;Ichnianska;"	Ichnia";23.03.2023;Access to general services;ukrainian;Valeriia Yakubenko, Yurii Stankevych;Urban;Female;34;IDP;YES;
CHJ - Chernihiv;ECHO;UKR-000269;7;Protection;Chernihivska;Prylutskyi;Ichnianska;"	Ichnia";23.03.2023;Access to general services;ukrainian;Valeriia Yakubenko, Yurii Stankevych;Urban;Female;38;IDP;YES;
CHJ - Chernihiv;ECHO;UKR-000269;7;Protection;Chernihivska;Prylutskyi;Ichnianska;"	Ichnia";23.03.2023;Access to general services;ukrainian;Valeriia Yakubenko, Yurii Stankevych;Urban;Female;48;IDP;YES;
CHJ - Chernihiv;ECHO;UKR-000269;7;Protection;Chernihivska;Prylutskyi;Ichnianska;"	Ichnia";23.03.2023;Access to general services;ukrainian;Valeriia Yakubenko, Yurii Stankevych;Urban;Female;39;IDP;YES;
CHJ - Chernihiv;ECHO;UKR-000269;7;Protection;Chernihivska;Prylutskyi;Ichnianska;"	Ichnia";23.03.2023;Access to general services;ukrainian;Valeriia Yakubenko, Yurii Stankevych;Urban;Female;40;IDP;YES;
