_ID;Project ;Payment Done;Amount
438150461;UKR-000270;Yes;6 660
438150544;UKR-000298;Yes;19 980
438150714;UKR-000298;Yes;6 660
438151025;UKR-000270;Yes;6 660
438151301;UKR-000270;Yes;6 660
438151345;UKR-000270;Yes;19 980
438151531;UKR-000298;Yes;33 300
438151951;UKR-000270;Yes;13 320
438152145;UKR-000270;Yes;6 660
438152362;UKR-000270;Yes;13 320
438152836;UKR-000270;Yes;6 660
438153149;UKR-000298;Yes;13 320
438153389;UKR-000270;Yes;6 660
438153454;;No;6 660
438153680;UKR-000298;Yes;13 320
438153752;UKR-000298;Yes;6 660
438153767;UKR-000270;Yes;26 640
438154094;;No;6 660
438154122;UKR-000270;Yes;13 320
438154325;UKR-000270;Yes;6 660
438154404;UKR-000298;Yes;6 660
438154419;UKR-000298;Yes;19 980
438154867;UKR-000298;Yes;13 320
438155056;UKR-000298;Yes;6 660
438155841;UKR-000298;Yes;33 300
438156088;UKR-000298;Yes;13 320
438156775;UKR-000298;Yes;19 980
438156840;UKR-000298;Yes;6 660
438157241;UKR-000270;Yes;13 320
438157468;UKR-000270;Yes;13 320
438157677;UKR-000298;Yes;6 660
438158322;UKR-000298;Yes;19 980
438158532;UKR-000298;Yes;33 300
438158753;UKR-000298;Yes;6 660
438158976;UKR-000270;Yes;6 660
438160041;UKR-000270;Yes;6 660
438160061;UKR-000298;Yes;6 660
438160211;UKR-000270;Yes;39 960
438160786;UKR-000298;Yes;6 660
438160797;UKR-000298;Yes;13 320
438161281;;No;6 660
438161288;UKR-000270;Yes;13 320
438161294;UKR-000270;Yes;19 980
438161298;UKR-000270;Yes;6 660
438161541;UKR-000298;Yes;13 320
438161959;UKR-000270;Yes;33 300
438162224;UKR-000270;Yes;13 320
438162859;UKR-000298;Yes;33 300
438162923;UKR-000270;Yes;13 320
438162961;UKR-000270;Yes;13 320
438163264;UKR-000270;Yes;6 660
438163705;UKR-000270;Yes;19 980
438163888;UKR-000270;Yes;26 640
438164166;UKR-000298;Yes;19 980
438164689;UKR-000270;Yes;19 980
438165277;UKR-000270;Yes;33 300
438165286;UKR-000270;Yes;13 320
438165290;UKR-000270;Yes;13 320
438165297;UKR-000270;Yes;13 320
438165353;UKR-000298;Yes;13 320
438165404;UKR-000270;Yes;33 300
438165559;UKR-000270;Yes;13 320
438165604;UKR-000270;Yes;13 320
438165625;UKR-000270;Yes;19 980
438165837;UKR-000298;Yes;6 660
438166433;UKR-000270;Yes;13 320
438166563;UKR-000298;Yes;13 320
